Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.000000000,0.1257367,0.2564729,0.05240937,0.02182142,0.9849618,0.1566736,10.59374,-23.38071,-32.00026,1001.103
0.020183086,-0.05808908,0.4357792,-0.00862385,0.009794973,0.9823564,0.1571263,10.59374,-23.38071,-32.00026,1001.103
0.040367126,0.003186173,0.4357792,0.1134426,0.01313501,0.9852834,0.1600988,10.57268,-22.64362,-31.56139,1001.103
0.060551167,-0.1193643,0.3760104,-0.00862385,0.01898075,0.9805501,0.1575636,10.57268,-22.64362,-31.56139,1001.103
0.080735207,0.1870119,0.3760104,-0.00862385,0.02036892,0.9854295,0.1561984,10.57268,-22.64362,-31.56139,1001.103
0.100918293,0.2482872,-0.04237088,-0.1306903,0.0237909,0.9815565,0.1609826,10.58239,-23.01294,-31.56126,1001.103
0.121102333,0.1257367,-0.3412147,0.05240937,0.0117401,0.980816,0.168771,10.58239,-23.01294,-31.56126,1001.103
0.141286373,0.06446143,-0.4607522,-0.00862385,0.02424983,0.9835155,0.1595609,10.58239,-23.01294,-31.56126,1001.107
0.158946991,0.1257367,-0.4607522,-0.1306903,0.01795226,0.985907,0.1532919,10.58239,-23.01294,-31.56126,1001.107
0.179130554,0.06446143,-0.2216772,-0.1306903,0.01700634,0.9845169,0.1454804,10.58239,-23.01294,-31.56126,1001.107
0.199314594,-0.05808908,-0.4607522,-0.06965707,0.02666714,0.9830911,0.157116,10.22062,-23.3812,-31.56261,1001.107
0.219498158,-0.05808908,-0.2216772,-0.1306903,0.02477924,0.9796672,0.1575376,10.22062,-23.3812,-31.56261,1001.107
0.239681721,0.003186173,-0.4607522,-0.06965707,0.01656949,0.9805046,0.1585394,10.95551,-23.01244,-31.99891,1001.107
0.259865761,0.003186173,-0.6400584,-0.31379,0.0174749,0.9853334,0.1615532,10.95551,-23.01244,-31.99891,1001.107
0.280049801,0.2482872,-0.5205209,-0.1306903,0.01457055,0.986322,0.1552514,10.95551,-23.01244,-31.99891,1001.105
0.300232887,0.06446143,-0.4607522,-0.31379,0.0178344,0.9955554,0.1573757,10.95386,-23.01399,-31.55978,1001.105
0.320416927,-0.1193643,-0.1021396,-0.1306903,0.01650627,0.9859435,0.1474557,10.95386,-23.01399,-31.55978,1001.107
0.340600967,0.003186173,0.1369354,-0.00862385,0.01946972,0.9801452,0.1502561,10.21255,-23.01034,-32.00187,1001.107
0.360785007,0.06446143,-0.1021396,-0.1306903,0.017057,0.9799792,0.1633942,10.21255,-23.01034,-32.00187,1001.107
0.380968094,0.003186173,-0.3412147,-0.1306903,0.01168786,0.9852234,0.1639924,10.95222,-23.01553,-31.12065,1001.107
0.401152134,0.06446143,-0.2216772,0.05240937,0.01554721,0.9854062,0.1513391,10.95222,-23.01553,-31.12065,1001.107
0.421335697,-0.05808908,0.01739787,0.235509,0.01454207,0.9888162,0.148002,10.95222,-23.01553,-31.12065,1001.107
0.438996315,-0.05808908,-0.04237088,0.1134426,0.0179515,0.9858443,0.1596163,10.22062,-23.3812,-31.56261,1001.107
0.459180355,0.003186173,0.1967041,-0.1306903,0.01696385,0.9877915,0.1572233,10.22062,-23.3812,-31.56261,1001.107
0.479364395,0.06446143,-0.1021396,-0.1306903,0.01697001,0.9873313,0.1547813,10.20285,-22.64103,-32.002,1001.107
0.499547481,-0.05808908,-0.04237088,0.1744758,0.01898104,0.9805742,0.1551312,10.20285,-22.64103,-32.002,1001.107
0.519731521,0.003186173,-0.04237088,-0.06965707,0.01465783,0.978994,0.1614318,10.20285,-22.64103,-32.002,1001.111
0.539915562,-0.05808908,-0.04237088,-0.1306903,0.02084522,0.9859162,0.1566939,10.21091,-23.01189,-31.56274,1001.111
0.560099602,0.06446143,0.01739787,-0.00862385,0.01838706,0.9897504,0.15726,10.21091,-23.01189,-31.56274,1001.111
0.580282688,-0.05808908,0.07716663,-0.00862385,0.01939836,0.9858802,0.1581551,10.58239,-23.01294,-31.56126,1001.111
0.600466728,-0.05808908,0.01739787,0.05240937,0.01556388,0.9838759,0.1590942,10.58239,-23.01294,-31.56126,1001.111
0.620650768,0.1257367,-0.4607522,-0.1917235,0.01898064,0.9805404,0.1585366,10.58239,-23.01294,-31.56126,1001.111
0.640834331,-0.05808908,-0.5802897,-0.00862385,0.01317551,0.9818448,0.1648966,10.57268,-22.64362,-31.56139,1001.111
0.661017895,-0.05808908,-0.8791334,-0.31379,0.01319917,0.9799219,0.1633987,10.57268,-22.64362,-31.56139,1001.111
0.681201935,0.003186173,-0.8193647,-0.1306903,0.0005624131,0.9880518,0.1553062,10.21091,-23.01189,-31.56274,1001.111
0.698862553,0.003186173,-0.5802897,-0.1306903,0.002545439,0.9838275,0.1445148,10.21091,-23.01189,-31.56274,1001.111
0.719046116,0.06446143,-0.7595959,-0.06965707,0.005432305,0.9843016,0.1498724,10.21091,-23.01189,-31.56274,1001.111
0.739230156,0.06446143,-0.4607522,-0.1306903,0.02613854,0.9870071,0.1523284,10.57432,-22.64208,-32.00052,1001.111
0.759414196,-0.1193643,0.3760104,0.1134426,0.02808623,0.9856791,0.1425676,10.57432,-22.64208,-32.00052,1001.111
0.779597282,-0.1806396,0.6748542,-0.00862385,0.01747014,0.9859095,0.1523194,10.56297,-22.27431,-31.56152,1001.111
0.799781322,-0.1806396,0.4357792,0.1744758,0.01799241,0.9824394,0.1610086,10.56297,-22.27431,-31.56152,1001.111
0.819965363,-0.1193643,0.2564729,0.1744758,0.01414508,0.9813121,0.1712102,10.56297,-22.27431,-31.56152,1001.111
0.840149403,0.003186173,-0.04237088,0.05240937,0.006871373,0.9846628,0.164475,10.22706,-23.69051,-31.12337,1001.109
0.860332489,0.06446143,-0.1619084,-0.06965707,0.01028435,0.9819853,0.1464133,10.22706,-23.69051,-31.12337,1001.109
0.880516529,-0.1193643,0.07716663,-0.1306903,0.020864,0.9845597,0.1469353,10.21255,-23.01034,-32.00187,1001.109
0.900700569,-0.1193643,-0.2216772,-0.06965707,0.01120586,0.9852355,0.162047,10.21255,-23.01034,-32.00187,1001.109
0.920884132,-0.05808908,0.01739787,-0.06965707,0.02424501,0.9840868,0.1508137,10.58403,-23.01139,-32.00039,1001.109
0.941067696,0.1257367,0.3760104,0.05240937,0.03911712,0.9905472,0.1567588,10.58403,-23.01139,-32.00039,1001.109
0.961251736,0.06446143,0.1369354,0.05240937,0.02142055,0.9781062,0.1633507,10.58403,-23.01139,-32.00039,1001.109
0.978912830,0.1257367,0.3760104,-0.00862385,0.001051095,0.987623,0.1504311,10.58074,-23.01448,-31.12213,1001.109
0.999095917,0.2482872,0.1967041,0.235509,0.01876963,0.9980012,0.1564495,10.58074,-23.01448,-31.12213,1001.107
1.019279957,0.1870119,0.1967041,0.1134426,0.002968098,0.9886058,0.1519075,10.59209,-23.38225,-31.56113,1001.107
1.039463997,0.1257367,0.2564729,0.1744758,-0.01823286,0.9867992,0.1557956,10.59209,-23.38225,-31.56113,1001.105
1.059648037,-0.3031901,0.6748542,-0.06965707,0.03456232,1.007635,0.1858122,10.59209,-23.38225,-31.56113,1001.105
1.079831123,0.1257367,1.571386,0.1744758,0.0583096,0.9983515,0.1802412,10.57268,-22.64362,-31.56139,1001.105
1.100015163,0.3095624,1.332311,0.3575754,0.03636029,0.9785228,0.1925322,10.57268,-22.64362,-31.56139,1001.105
1.120199204,0.1257367,1.929998,0.3575754,0.009212787,0.9905687,0.1587494,10.20285,-22.64103,-32.002,1001.105
1.140382767,0.432113,2.049536,0.2965422,-0.01423203,0.9744387,0.1866866,10.20285,-22.64103,-32.002,1001.105
1.160566330,-1.528695,1.392079,0.4796419,-0.04190938,0.9873883,0.3052241,10.20285,-22.64103,-32.002,1001.105
1.180749893,-0.2419149,-0.04237088,0.1134426,-0.005993164,0.9295746,0.2767783,9.820023,-22.27221,-31.56448,1001.105
1.200933933,-0.05808908,-1.237746,-0.06965707,0.02558578,0.9502497,0.2912521,9.820023,-22.27221,-31.56448,1001.105
1.221117973,0.06446143,-0.8791334,0.05240937,0.0422797,0.9672754,0.2117644,9.841078,-23.00929,-32.00335,1001.105
1.241301060,0.3095364,0.4955094,0.1133656,0.04893759,0.9751735,0.2070451,9.841078,-23.00929,-32.00335,1001.105
1.258962631,0.06404386,2.285682,0.4788752,0.03890789,0.9675391,0.1801464,9.841078,-23.00929,-32.00335,1001.105
1.279145717,0.6766014,3.71764,0.4784431,0.01350564,0.9935166,0.2098931,10.58239,-23.01294,-31.56126,1001.105
1.299329758,0.370225,4.614172,0.5394764,0.004980842,0.9413749,0.1782186,10.58239,-23.01294,-31.56126,1001.103
1.319513798,0.370225,5.092322,0.5394764,-0.009419338,0.9746857,0.217826,10.58403,-23.01139,-32.00039,1001.103
1.339697838,0.1863993,5.331397,0.722576,0.02102709,0.9699246,0.206009,10.58403,-23.01139,-32.00039,1001.107
1.359880924,0.2476745,5.69001,0.5394764,0.02299005,0.9669505,0.215679,10.58403,-23.01139,-32.00039,1001.107
1.380064964,0.370225,6.108391,0.7836093,0.02711523,0.9851241,0.1970557,10.19956,-22.64412,-31.12374,1001.107
1.400248527,0.6766014,6.706079,0.8446425,0.02591429,0.9646972,0.2029788,10.19956,-22.64412,-31.12374,1001.107
1.420432567,0.6153261,6.825616,1.027742,0.01108733,0.9542122,0.2120382,10.59209,-23.38225,-31.56113,1001.106
1.440616131,0.6153261,6.586541,0.8446425,0.005683033,1.002014,0.2207776,10.59209,-23.38225,-31.56113,1001.106
1.460799694,0.4315003,5.69001,0.8446425,0.01406338,0.9881316,0.1674526,10.59209,-23.38225,-31.56113,1001.106
1.480983734,0.125124,5.21186,0.6615428,0.03309092,1.009449,0.1960686,10.59209,-23.38225,-31.56113,1001.106
1.501167774,0.3089498,4.494635,0.9056757,0.0347819,0.9908836,0.1163851,10.59209,-23.38225,-31.56113,1001.106
1.518828392,0.002573525,4.315328,0.9056757,0.01020192,0.987775,0.1976196,11.34313,-23.69212,-31.55807,1001.106
1.539012432,-0.2425275,3.299259,0.8446425,0.001779661,0.9672729,0.1514871,11.34313,-23.69212,-31.55807,1001.106
1.559195518,0.1863993,2.821109,0.4784431,0.01622975,0.9293615,0.1361179,11.34313,-23.69212,-31.55807,1001.106
1.579379558,0.4315003,1.386659,0.5394764,0.01541787,0.9554288,0.1935657,10.95386,-23.01399,-31.55978,1001.106
1.599563599,-0.119977,0.8487403,0.4174099,0.006174653,0.9631519,0.1338819,10.95386,-23.01399,-31.55978,1001.106
1.619747162,-0.2425275,-0.04779106,0.2953435,0.04017105,0.9824452,0.1935774,10.95057,-23.01708,-30.68152,1001.104
1.639930725,0.125124,0.3705902,0.1122438,0.007133828,0.9636989,0.1290255,10.95057,-23.01708,-30.68152,1001.104
1.660114765,0.6766014,-0.2270973,0.2953435,0.002021376,1.026795,0.1594769,10.57268,-22.64362,-31.56139,1001.102
