Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.000000000,0.05332409,-0.135113,-0.1308185,0.01121842,0.9843344,0.155217,18.29488,-24.45212,-31.02835,1001.487
0.020183086,0.05332409,-0.2546505,-0.1918517,0.01414742,0.9815052,0.1517506,18.29488,-24.45212,-31.02835,1001.487
0.040367126,-0.007951167,-0.2546505,-0.06978528,0.01705213,0.9805456,0.1551334,18.6028,-24.45454,-30.58798,1001.489
0.060550690,-0.007951167,0.04419328,0.05228116,0.01549433,0.9897606,0.151912,18.6028,-24.45454,-30.58798,1001.489
0.080733776,0.2984251,0.1637308,-0.008752062,0.01261879,0.9882838,0.1499406,18.6028,-24.45454,-30.58798,1001.482
0.100916863,-0.007951167,-0.01557548,0.05228116,0.007372494,0.983323,0.1537428,18.61415,-24.82231,-31.02699,1001.482
0.121100903,0.1145993,-0.5534943,-0.06978528,0.01221211,0.9819173,0.1561408,18.61415,-24.82231,-31.02699,1001.486
0.141283989,0.05332409,-0.135113,-0.1308185,0.01511728,0.9809964,0.1556318,18.97427,-24.45559,-30.58651,1001.486
0.161467552,0.1145993,-0.07534423,-0.008752062,0.01695281,0.9888182,0.1514046,18.97427,-24.45559,-30.58651,1001.486
0.181650639,-0.007951167,0.04419328,-0.252885,0.01598975,0.9889197,0.1397299,18.97427,-24.45559,-30.58651,1001.486
0.201834679,0.05332409,-0.07534423,-0.1308185,0.01405439,0.9893271,0.1446067,18.61555,-24.82099,-31.40339,1001.486
0.222017765,-0.1305017,0.2234995,-0.06978528,0.009290609,0.9843975,0.1459759,18.61555,-24.82099,-31.40339,1001.486
0.239678383,-0.1305017,-0.07534423,-0.1308185,0.007319728,0.9876871,0.1533427,18.29488,-24.45212,-31.02835,1001.484
0.259861946,-0.1305017,0.2234995,0.1743476,0.008389662,0.9789685,0.1546283,18.29488,-24.45212,-31.02835,1001.484
0.280045033,-0.007951167,0.1637308,0.05228116,0.003943713,0.9876031,0.1567521,18.29488,-24.45212,-31.02835,1001.48
0.300229073,0.05332409,0.1637308,0.05228116,-0.0012966,0.9821676,0.1595717,18.29323,-24.45367,-30.58922,1001.48
0.320412159,-0.1305017,-0.1948817,0.1133144,0.01892259,0.9854369,0.1532811,18.29323,-24.45367,-30.58922,1001.48
0.340595722,0.05332409,0.3430371,0.1133144,0.008148843,0.9988124,0.1564812,18.60444,-24.453,-31.02711,1001.48
0.360778809,0.05332409,0.103962,0.1133144,0.003619849,1.014156,0.1660367,18.60444,-24.453,-31.02711,1001.484
0.380962849,-0.007951167,-0.2546505,-0.1308185,0.01815838,0.9690127,0.1471182,18.6028,-24.45454,-30.58798,1001.484
0.401145935,-0.1917769,0.103962,-0.1308185,0.005407776,0.9861522,0.1586676,18.6028,-24.45454,-30.58798,1001.482
0.421329498,0.05332409,-0.3144192,-0.008752062,0.003960913,0.9861162,0.1601288,18.6028,-24.45454,-30.58798,1001.482
0.441512585,0.2371498,-0.4339568,0.05228116,0.007442751,0.9774963,0.1550872,18.96457,-24.08628,-30.58663,1001.484
0.461696625,0.2371498,-0.1948817,0.05228116,0.0116487,0.9887732,0.1480054,18.96457,-24.08628,-30.58663,1001.484
0.481879711,0.2371498,-0.135113,0.1133144,0.0116477,0.9886912,0.1562757,18.60444,-24.453,-31.02711,1001.482
0.502062798,0.3597004,-0.374188,-0.008752062,0.01985875,0.98796,0.1445711,18.60444,-24.453,-31.02711,1001.482
0.519723415,0.1758746,-0.1948817,0.05228116,0.0217714,0.9895527,0.1334084,18.60444,-24.453,-31.02711,1001.483
0.539906979,0.2371498,-0.2546505,0.05228116,0.003038589,0.9827984,0.1513059,18.60444,-24.453,-31.02711,1001.483
0.560091019,0.05332409,-0.4339568,-0.008752062,0.01558254,0.9825099,0.1503086,18.60444,-24.453,-31.02711,1001.483
0.580274105,0.1145993,-0.2546505,-0.1308185,0.01270085,0.9814933,0.1507793,18.59309,-24.08523,-30.58811,1001.483
0.600457192,0.05332409,-0.01557548,0.1133144,0.001991784,0.9895505,0.1529008,18.59309,-24.08523,-30.58811,1001.483
0.620640755,0.1145993,0.103962,0.1743476,0.003492348,0.9852996,0.1440559,18.59309,-24.08523,-30.58811,1001.483
0.640824795,0.05332409,-0.01557548,0.1743476,0.01313507,0.9852883,0.1596123,18.29488,-24.45212,-31.02835,1001.485
0.661007881,0.05332409,0.04419328,0.1743476,0.03343648,0.9817817,0.1527009,18.29488,-24.45212,-31.02835,1001.485
0.681190968,-0.06922642,0.3430371,-0.008752062,0.0294916,0.9890718,0.144579,18.9565,-23.71542,-31.02589,1001.487
0.701375008,-0.06922642,0.4028058,-0.008752062,0.01704742,0.9811264,0.1454132,18.9565,-23.71542,-31.02589,1001.487
