Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.840142727,0.6209249,1.691208,0.2901244,0.03711176,0.9958337,0.2069847,6.223559,-24.41643,-31.51553,1001.496
0.860326767,0.9885765,2.229126,0.4732241,0.02301581,0.9652014,0.1966674,6.223559,-24.41643,-31.51553,1001.496
0.880509853,1.294953,2.288895,0.4732241,0.02176416,0.9889541,0.1937333,6.212444,-24.04844,-31.13926,1001.496
0.900693893,1.294953,2.109589,0.2901244,0.006510296,0.9743105,0.1817878,6.212444,-24.04844,-31.13926,1001.496
0.920877457,1.478778,1.691208,0.3511577,0.008898083,0.9762933,0.1808503,6.212444,-24.04844,-31.13926,1001.495
0.941061020,1.540054,2.04982,0.5342574,-0.003628321,0.975124,0.1823053,6.964867,-24.42007,-31.07344,1001.495
0.958721638,1.540054,2.229126,0.3511577,0.004535065,0.9782097,0.1765154,6.964867,-24.42007,-31.07344,1001.498
0.978905678,1.478778,1.870514,0.7783902,-0.01044932,0.9808891,0.177077,6.595036,-24.41748,-31.51406,1001.498
0.999088764,1.662604,1.691208,0.7783902,-0.01026028,0.9654913,0.1665536,6.595036,-24.41748,-31.51406,1001.5
1.019272804,1.723879,1.750977,1.022523,-0.004484815,1.005259,0.2203702,6.595036,-24.41748,-31.51406,1001.5
1.039456368,2.152806,2.109589,0.9614899,0.03050599,0.9835185,0.2174556,6.956806,-24.04922,-31.5127,1001.488
1.059639931,1.785155,2.767045,0.9614899,0.04388282,0.9540505,0.2285308,6.956806,-24.04922,-31.5127,1001.488
1.079823494,2.091531,2.826814,0.6563238,0.03994235,1.000382,0.2411317,6.966511,-24.41853,-31.51258,1001.492
1.100007534,2.275357,2.886583,0.717357,0.01917447,0.9635993,0.2058865,6.966511,-24.41853,-31.51258,1001.492
1.120190620,2.704283,1.810745,0.2290912,0.03363712,0.9644336,0.1922574,6.966511,-24.41853,-31.51258,1001.492
1.140374661,2.275357,1.750977,-0.1981413,0.03411986,1.003159,0.2455745,6.595036,-24.41748,-31.51406,1001.492
1.160557747,0.3758239,3.544039,0.2901244,0.08685227,0.9501786,0.2434753,6.595036,-24.41748,-31.51406,1001.492
1.180741787,-0.6045802,4.978489,0.1070248,0.04002997,1.031758,0.3020893,6.223559,-24.41643,-31.51553,1001.492
1.200924873,-0.9109564,8.564614,0.5952905,0.01492611,0.9952487,0.2327948,6.223559,-24.41643,-31.51553,1001.492
1.221108913,-1.217333,11.97143,2.548354,-0.05429904,0.8533776,0.4125586,6.223559,-24.41643,-31.51553,1001.492
1.238769531,0.06944759,12.92773,1.938021,-0.08642083,1.155515,0.4346429,6.58533,-24.04817,-31.51418,1001.491
1.258952618,-0.9109564,13.16681,0.7783902,0.06962527,1.017929,0.2750099,6.58533,-24.04817,-31.51418,1001.491
1.279136658,-3.423242,13.9438,1.022523,-0.01054528,0.946884,0.2834532,6.59668,-24.41594,-31.95318,1001.491
1.299320221,-1.156057,15.25872,2.731453,-0.07180141,0.9507205,0.09822951,6.59668,-24.41594,-31.95318,1001.491
1.319503784,1.049852,13.22658,0.5952905,-0.07061436,1.013523,0.02113026,6.59668,-24.41594,-31.95318,1001.495
