Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.000000000,-0.1366584,-0.04635842,0.1031367,0.01065994,0.9906288,0.1548558,25.17445,-25.60003,-25.16645,1001.478
0.020184040,-0.07538315,-0.1061272,-0.0189297,0.01550014,0.9892713,0.1523889,25.17445,-25.60003,-25.16645,1001.478
0.040368080,0.1697179,0.0731791,-0.0189297,0.01506452,0.9853604,0.1552316,25.541,-25.60572,-23.84758,1001.478
0.060551167,0.04716736,-0.04635842,0.04210352,0.01167223,0.9868407,0.1474805,25.541,-25.60572,-23.84758,1001.478
0.080735207,0.04716736,-0.2256647,-0.2020294,0.01315884,0.983375,0.1571415,25.54264,-25.60417,-24.28671,1001.478
0.100919247,0.04716736,0.0731791,-0.07996292,0.01318865,0.9809919,0.1532016,25.54264,-25.60417,-24.28671,1001.48
0.121102810,0.1697179,-0.04635842,-0.2020294,0.02089206,0.9820317,0.1575901,25.54264,-25.60417,-24.28671,1001.48
0.138763428,-0.0141079,0.0731791,-0.1409961,0.02282238,0.9821762,0.1459121,25.1631,-25.23226,-24.72745,1001.48
0.158947468,-0.1366584,-0.04635842,-0.3240958,0.01401347,0.992732,0.1432144,25.1631,-25.23226,-24.72745,1001.48
0.179131031,-0.07538315,-0.04635842,-0.07996292,0.008303083,0.9863545,0.14261,25.16146,-25.23381,-24.28832,1001.48
0.199314594,-0.2592089,-0.1658959,-0.0189297,0.01264204,0.9863271,0.1518482,25.16146,-25.23381,-24.28832,1001.48
0.219498634,-0.1366584,-0.1658959,-0.1409961,0.01362288,0.984787,0.1620346,25.16146,-25.23381,-24.28832,1001.48
0.239682198,0.1084426,-0.1658959,-0.07996292,0.01516383,0.9770878,0.1589605,24.80133,-25.60052,-24.7288,1001.481
