Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.819953442,0.009584826,0.05187239,-0.07345502,0.01558573,0.9818034,0.1726776,4.043623,-24.04408,-30.64602,1001.383
0.840136528,0.1319959,-0.06773897,-0.07374949,0.03968593,0.9831685,0.1687765,4.033918,-23.67476,-30.64615,1001.383
0.860319614,0.43781,0.05185596,0.04823383,0.02681781,0.9703388,0.1729208,4.033918,-23.67476,-30.64615,1001.383
0.880503654,0.4981784,-0.06781162,-0.01255648,0.0191001,0.9700553,0.1899571,4.033918,-23.67476,-30.64615,1001.383
0.900687218,1.170494,-0.4256347,-0.0124866,0.03010269,0.977432,0.1954394,3.691559,-24.78165,-30.64725,1001.385
0.920870304,1.35165,-0.2451849,-0.1955932,0.02609552,0.9902382,0.1684498,3.691559,-24.78165,-30.64725,1001.385
0.938530922,0.7367938,-0.8416582,-0.1952976,-0.004200138,0.9832236,0.1464591,4.434511,-24.78376,-30.64429,1001.385
0.958714008,0.4288756,-1.257589,-0.1336974,-0.0008938534,0.9891777,0.1373269,4.434511,-24.78376,-30.64429,1001.385
0.978898048,0.550234,-1.015394,0.0496805,0.01547736,0.9912667,0.1465894,4.434511,-24.78376,-30.64429,1001.387
0.999081135,0.6103393,0.06196041,0.1718137,0.008400875,0.9779564,0.1589876,3.69015,-24.78298,-30.27085,1001.387
1.019264698,1.098682,0.479473,-0.01148749,0.02358339,0.9577213,0.2189015,3.69015,-24.78298,-30.27085,1001.39
1.039448738,1.218243,-0.4177742,-0.4385187,0.02803201,0.9879835,0.2520953,4.053329,-24.41339,-30.6459,1001.39
1.059631825,0.9090778,-1.431931,-0.4983936,0.03809707,0.9936934,0.2288373,4.053329,-24.41339,-30.6459,1001.39
1.079814911,0.2948317,-0.4124553,-0.3752485,0.01039564,0.9727633,0.148177,4.436155,-24.78221,-31.08342,1001.39
1.099998951,0.3551743,1.14071,-0.1301546,0.01342712,1.001569,0.1307389,4.436155,-24.78221,-31.08342,1001.39
1.120182514,1.088431,2.511026,-0.00824045,-0.009056599,0.9861451,0.1377655,4.436155,-24.78221,-31.08342,1001.392
1.140365601,0.9626868,2.743197,0.1745925,0.02059719,1.006134,0.1697457,3.693203,-24.78011,-31.08638,1001.392
1.160548687,0.7155921,2.497761,0.1741159,0.04934685,0.9817525,0.1794392,3.693203,-24.78011,-31.08638,1001.39
1.180732727,0.28551,3.090593,0.3571367,0.05563943,0.9799177,0.1784205,3.320085,-24.7806,-30.64873,1001.39
1.198393345,0.6531615,4.106662,0.1130039,0.02135429,0.983294,0.1775645,3.320085,-24.7806,-30.64873,1001.39
1.218576431,1.265914,5.062962,0.1740371,0.006054814,0.9726361,0.1545064,3.320085,-24.7806,-30.64873,1001.39
1.238759995,1.44974,5.003193,0.2961035,-0.02630768,0.9764916,0.1570632,3.691559,-24.78165,-30.64725,1001.39
1.258944035,1.327189,4.525043,0.05197065,-0.006673133,0.9877707,0.1728284,3.691559,-24.78165,-30.64725,1001.39
1.279127121,1.511015,4.2262,0.1740371,-0.004346082,0.9944282,0.1890141,4.794872,-24.41682,-30.26654,1001.389
1.299310207,1.57229,5.003193,0.4181699,-0.001228387,0.9761719,0.1779433,4.794872,-24.41682,-30.26654,1001.389
1.319493771,1.143364,5.421575,0.9674689,-0.000959087,0.9934806,0.1919099,4.794872,-24.41682,-30.26654,1001.389
1.339677811,0.4693357,6.079031,0.7843693,0.01375449,0.973367,0.1900304,4.433102,-24.78508,-30.26789,1001.389
1.359860897,0.4693357,6.915793,0.8454025,0.01608717,0.9795207,0.2081525,4.433102,-24.78508,-30.26789,1001.395
1.380043984,0.7144368,7.513481,1.028502,0.02379017,0.9805266,0.2159465,4.433102,-24.78508,-30.26789,1001.395
1.400228024,0.8982626,8.888164,1.333668,0.01742868,0.9882991,0.2044316,4.433102,-24.78508,-30.26789,1001.393
1.420411110,1.082088,9.904232,1.455735,0.02534078,0.9726569,0.1812408,4.433102,-24.78508,-30.26789,1001.393
1.440594673,0.6531615,10.80076,1.333668,0.02430164,1.017749,0.225441,4.061626,-24.78403,-30.26937,1001.393
1.460778713,0.530611,12.77313,0.5402364,0.009756313,0.9849775,0.1858868,4.061626,-24.78403,-30.26937,1001.393
1.478438377,0.28551,14.14781,0.9674689,0.03378032,0.9530023,0.1725675,4.805986,-24.78481,-30.64281,1001.393
