Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.819956779,-0.04954727,0.2215127,0.1794461,0.01842955,0.9864758,0.1455171,11.33648,-23.31993,-32.37373,1001.107
0.840140343,0.07300324,-0.8543248,-0.12572,0.02228464,0.9863062,0.1683776,11.33648,-23.31993,-32.37373,1001.107
0.860323429,0.01172798,-1.212937,-0.1867532,-0.004650422,0.9800401,0.1736456,10.98418,-24.05773,-32.31221,1001.107
0.880507469,0.1342785,-1.392244,-0.12572,0.003343045,0.9971961,0.1657014,10.98418,-24.05773,-32.31221,1001.107
0.900690556,-0.04954727,-0.6152498,-0.3088197,0.01360337,0.9870528,0.1289916,10.59353,-23.31783,-32.37668,1001.107
0.920874596,0.01172798,-0.316406,-0.06468677,-0.002311489,0.9867104,0.1397131,10.59353,-23.31783,-32.37668,1001.107
0.941057682,0.1342785,0.2812815,-0.1867532,0.006814315,0.9896414,0.1509492,10.59353,-23.31783,-32.37668,1001.107
0.961241245,0.01172798,0.4605878,-0.003653544,0.02957789,0.9816617,0.1590298,10.96336,-23.32043,-31.93607,1001.107
0.981424808,0.07300324,0.2812815,-0.12572,0.06623983,0.9812997,0.1526432,10.96336,-23.32043,-31.93607,1001.11
1.001608372,-0.1720978,-0.1968686,-0.06468677,0.04303336,0.9857368,0.1590907,11.32839,-23.01217,-32.37383,1001.11
1.021792412,0.07300324,-0.6152498,-0.003653544,-0.001808176,0.9845821,0.1596203,11.32839,-23.01217,-32.37383,1001.11
1.039453030,-0.1108225,-0.6750186,-0.2477864,-0.01334623,0.9815236,0.1576303,11.32839,-23.01217,-32.37383,1001.11
1.059636116,-0.2946483,-1.153169,-0.06468677,0.007230754,0.9948751,0.1612705,11.34618,-23.68925,-32.3736,1001.11
1.079819202,-0.1108225,-0.7945561,-0.06468677,0.002455414,0.9909286,0.1611994,11.34618,-23.68925,-32.3736,1001.11
1.100003243,0.07300324,-0.5554811,-0.2477864,0.003056021,0.9813309,0.1527366,11.33483,-23.32148,-31.93459,1001.11
1.120186806,0.01172798,-0.7347873,-0.3088197,0.01554128,0.9858857,0.1518352,11.33483,-23.32148,-31.93459,1001.11
1.140370369,0.1342785,-0.7347873,-0.2477864,0.02284434,0.9801133,0.1585225,11.33483,-23.32148,-31.93459,1001.108
1.160553932,0.3181043,-1.452012,-0.2477864,0.00231707,0.9225002,0.1720099,12.01893,-23.32053,-32.74741,1001.108
1.180737018,-0.2946483,-0.7347873,-0.1867532,0.05118836,0.9890994,0.1742295,12.01893,-23.32053,-32.74741,1001.108
1.200921058,0.01172798,-0.1968686,0.1184129,0.03011408,0.9764344,0.1983391,11.32839,-23.01217,-32.37383,1001.108
1.221104145,0.07300324,0.5801253,0.1794461,0.002131306,0.9778151,0.1638598,11.32839,-23.01217,-32.37383,1001.106
1.241288185,-0.2946483,1.237581,0.1184129,-0.006747964,1.033835,0.1693609,12.02722,-23.69117,-32.37088,1001.106
1.261471271,0.1342785,1.118044,0.1184129,0.007361905,1.023063,0.2017283,12.02722,-23.69117,-32.37088,1001.108
