Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.000000000,0.006580459,-0.3081373,-0.07295592,0.01363555,0.9838956,0.1542316,9.088421,-22.63787,-32.00643,1001.17
0.020184040,-0.1158712,0.0505734,-0.01189287,0.01115286,0.9895803,0.1635929,9.088421,-22.63787,-32.00643,1001.17
0.040368080,-0.05447816,-0.009547504,-0.01193968,0.01650428,0.9857794,0.1639964,8.778857,-22.637,-32.00766,1001.17
0.060551167,0.006933815,-0.06932981,-0.07288545,0.01801037,0.9810152,0.1580608,8.778857,-22.637,-32.00766,1001.17
0.080735207,0.006974165,-0.0094996,-0.01184161,0.01988658,0.9854126,0.1571719,8.778857,-22.637,-32.00766,1001.17
0.100919247,0.007033656,-0.188463,-0.1338592,0.009300887,0.9833081,0.158119,9.467958,-23.00979,-31.5657,1001.17
0.121103287,-0.0542977,-0.06847109,-0.01170585,0.005919936,0.9837859,0.1537541,9.467958,-23.00979,-31.5657,1001.17
0.141286850,0.06836986,-0.008286626,0.1104858,0.007830954,0.9852434,0.1562131,8.780501,-22.63546,-32.4468,1001.17
0.161470890,0.06842893,0.1711342,0.04957743,0.02277373,0.985911,0.1600971,8.780501,-22.63546,-32.4468,1001.17
0.181654930,-0.1766323,0.2307172,0.04951041,0.01753336,0.9804707,0.1634032,8.780501,-22.63546,-32.4468,1001.17
0.201838970,0.007329209,0.2899818,0.1105342,0.01893932,0.9839115,0.1605497,8.778857,-22.637,-32.00766,1001.17
0.222023010,0.007080074,-0.06900217,0.1105633,0.01076472,0.9818379,0.1619805,8.778857,-22.637,-32.00766,1001.172
0.242206574,-0.05411669,-0.1884227,0.04969319,0.01415834,0.9804689,0.1585423,9.098126,-23.00719,-32.00631,1001.172
0.262390614,-0.05401924,-0.3074871,0.04979841,0.02512654,0.9908193,0.1572713,9.098126,-23.00719,-32.00631,1001.17
0.280051231,0.1297521,0.1111757,-0.1333149,0.02566711,0.9859539,0.1600937,9.098126,-23.00719,-32.00631,1001.17
0.300235272,-0.05422644,0.290034,0.04969801,0.01557568,0.9829121,0.1585885,9.090065,-22.63633,-32.44556,1001.172
0.320419311,0.06834478,-0.008862441,0.1108172,0.003938369,0.9881309,0.1523833,9.090065,-22.63633,-32.44556,1001.172
0.340602875,-0.05414651,-0.1875086,0.04988892,0.006408269,0.983328,0.151798,9.088421,-22.63787,-32.00643,1001.174
0.360786915,-0.3603292,-0.1272504,-0.07222606,0.01368656,0.9793869,0.1692264,9.088421,-22.63787,-32.00643,1001.174
0.380970955,0.06896357,-0.4254932,0.04998343,0.03089951,0.9917049,0.1743108,9.088421,-22.63787,-32.00643,1001.172
0.401154995,0.06873272,0.4116244,-0.07218944,0.02711497,0.9860719,0.1503622,9.099771,-23.00565,-32.44543,1001.172
0.421339035,-0.05377883,0.4102535,0.04971342,0.008854106,0.9804143,0.156116,9.099771,-23.00565,-32.44543,1001.174
0.441522598,-0.05385543,-0.06841996,-0.07222869,0.001091422,0.9841697,0.1566883,9.098126,-23.00719,-32.00631,1001.174
0.461706161,0.06888794,-0.008498265,-0.01118656,0.01360556,0.9862642,0.159631,9.098126,-23.00719,-32.00631,1001.172
0.481890201,0.00788209,-0.4860454,0.1107355,0.01844471,0.98482,0.1659209,9.088421,-22.63787,-32.00643,1001.172
0.502073765,0.06917596,-0.6040061,-0.01126409,0.01993195,0.9814076,0.1702304,9.088421,-22.63787,-32.00643,1001.172
0.539918899,-0.1144565,-0.5409852,-0.1329713,0.01804488,0.9780512,0.1638412,9.088421,-22.63787,-32.00643,1001.17
0.560102940,-0.1145346,-0.3604524,-0.07160415,0.0121587,0.9862282,0.1610921,9.088421,-22.63787,-32.00643,1001.17
0.580286980,-0.05308714,0.1180958,-0.01021881,0.009202627,0.9916676,0.1456333,8.770796,-22.26614,-32.44693,1001.17
0.600470066,0.06946204,0.6550427,-0.01038464,0.01165392,0.9882357,0.1533472,8.770796,-22.26614,-32.44693,1001.17
0.620654106,-0.05305123,-0.301926,0.1727219,0.002142753,0.9768222,0.1662731,8.770796,-22.26614,-32.44693,1001.17
0.640838146,-0.2368015,-0.8388427,0.1115808,0.03295878,0.9811792,0.1638812,9.480952,-23.37601,-32.44383,1001.17
0.661022186,0.06968841,-0.8967682,0.05047824,0.02613296,0.9875155,0.1499056,9.480952,-23.37601,-32.44383,1001.17
0.681206226,0.06972478,-1.192816,-0.1934938,0.01165477,0.9873363,0.1951759,8.417088,-23.00526,-32.00901,1001.17
0.701389790,0.191927,-0.9511409,-0.07080758,0.0204885,0.974954,0.1866459,8.417088,-23.00526,-32.00901,1001.17
0.721573830,0.2527011,-1.068122,-0.3145903,0.06174267,0.9934567,0.1903576,8.417088,-23.00526,-32.00901,1001.17
0.741757870,0.5583276,-0.5874028,-0.3138964,0.02360483,0.9556149,0.2358904,9.090065,-22.63633,-32.44556,1001.17
0.761941910,0.433452,2.339457,0.6028496,0.04200128,1.027535,0.3399566,9.090065,-22.63633,-32.44556,1001.17
0.782125473,1.534706,4.54736,-0.1299587,0.05127378,0.9400312,0.2851731,8.778857,-22.637,-32.00766,1001.172
0.802309513,-3.673691,6.639266,1.456905,-0.03885882,1.096094,0.1949695,8.778857,-22.637,-32.00766,1001.172
0.819970131,-0.1197258,8.611635,1.823104,-0.03475866,0.8752931,0.2840182,8.778857,-22.637,-32.00766,1001.172
0.840154171,1.289605,11.361,1.823104,-0.03417182,0.8278202,0.2349057,8.409026,-22.6344,-32.44828,1001.172
0.860338211,1.044504,12.01845,1.212772,-0.1058783,0.9760559,0.1308957,8.409026,-22.6344,-32.44828,1001.172
0.880521774,0.9832288,12.07822,1.945171,-0.0217045,0.9933531,0.2225927,9.109476,-23.37496,-32.44531,1001.172
0.900705814,0.7381278,14.05059,1.823104,-0.01749004,0.963749,0.2336788,9.109476,-23.37496,-32.44531,1001.17
0.920889854,-0.05845055,12.61614,1.945171,0.04277556,1.045762,0.213317,9.109476,-23.37496,-32.44531,1001.17
0.941073894,0.6768525,12.61614,2.12827,0.03944223,0.9234825,0.1773274,9.098126,-23.00719,-32.00631,1001.17
0.961257935,0.6155773,12.43684,2.189304,0.05216315,0.9483824,0.1773149,9.098126,-23.00719,-32.00631,1001.17
0.981441498,0.6768525,12.85522,2.006204,0.02752337,0.9519647,0.1701232,9.479308,-23.37756,-32.0047,1001.172
1.001625538,0.9832288,12.61614,2.189304,0.005752548,0.95745,0.1707503,9.479308,-23.37756,-32.0047,1001.172
1.021809101,1.595981,12.79545,2.189304,0.0004963792,0.9536123,0.159004,9.461541,-22.63738,-32.44408,1001.17
1.041992664,0.9219536,11.12192,2.31137,0.005226138,0.9605774,0.196602,9.461541,-22.63738,-32.44408,1001.17
1.062176704,0.8606783,11.30123,1.823104,0.01167063,0.9857383,0.2097418,9.461541,-22.63738,-32.44408,1001.17
1.082360744,0.7381278,10.82308,2.067237,0.04009041,1.028998,0.189633,9.850784,-23.3786,-32.00322,1001.17
1.100021839,0.799403,10.70354,1.823104,0.04797564,0.9753667,0.1861271,9.850784,-23.3786,-32.00322,1001.17
1.120205879,0.6155773,9.687473,1.640005,0.04779439,0.9904395,0.1805866,9.842722,-23.00775,-32.44248,1001.17
1.140389919,1.105779,9.567936,1.151739,0.03883775,0.9733755,0.1778291,9.842722,-23.00775,-32.44248,1001.161
1.160573006,0.3704762,8.253023,1.029673,-0.01481088,0.9829262,0.1605798,9.842722,-23.00775,-32.44248,1001.161
1.180757046,0.2479257,6.45996,1.151739,0.02050491,0.9724326,0.2454729,10.21255,-23.01034,-32.00187,1001.161
1.200941086,0.554302,5.204816,0.6024399,-0.008499469,0.9797398,0.1493159,10.21255,-23.01034,-32.00187,1001.161
1.221125126,0.309201,4.128979,0.7855396,0.04515383,0.9309286,0.1190759,10.19979,-22.64389,-31.18647,1001.161
1.241308689,0.2479257,4.188747,0.6024399,0.01581227,1.003334,0.1516936,10.19979,-22.64389,-31.18647,1001.161
1.261492729,0.2479257,3.172678,0.5414068,0.03662356,1.077533,0.1273424,10.19979,-22.64389,-31.18647,1001.161
1.281676769,0.6155773,2.754297,0.3583071,-0.007175034,1.029662,0.1498154,10.21091,-23.01189,-31.56274,1001.161
1.301860809,0.06409996,3.11291,0.4193403,0.04296856,0.9513988,0.1525722,10.21091,-23.01189,-31.56274,1001.161
1.322044372,0.6768525,3.232447,0.3583071,0.04915314,0.9184426,0.1626157,10.2142,-23.0088,-32.441,1001.165
1.342228412,1.044504,4.786435,0.3583071,0.02293819,0.9723589,0.1588555,10.2142,-23.0088,-32.441,1001.165
